Orig,Dest,Departs,Arrives,Fleet,Flight,DOW,Start Date,End Date,Orig Lat,Orig Lng,Dest Lat,Dest Lng,Orig--Lat,Orig--Lng,Dest--Lat,Dest--Lng
JFK,MXP,16:45,6:45,A330,DL0198,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,45.6301,8.7281,40.6413,-73.7781,45.6301,8.7281
JFK,NCE,17:30,8:15,A330,DL0028,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,43.6584,7.2159,40.6413,-73.7781,43.6584,7.2159
JFK,TLV,23:45,17:35,A330,DL0234,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,32.0055,34.8854,40.6413,-73.7781,32.0055,34.8854
JFK,VCE,19:05,9:35,B767,DL0288,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,45.5053,12.3519,40.6413,-73.7781,45.5053,12.3519
JFK,ZRH,20:45,10:35,B767,DL0052,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,47.4582,8.5555,40.6413,-73.7781,47.4582,8.5555
LAX,CDG,17:05,13:05,A330,DL0290,DAILY,1-Oct-23,31-Oct-23,33.9416,-118.4085,49.0097,2.5479,33.9416,-118.4085,49.0097,2.5479
LAX,LHR,19:55,14:50,A330,DL0186,DAILY,1-Oct-23,31-Oct-23,33.9416,-118.4085,51.47,-0.4543,33.9416,-118.4085,51.47,-0.4543
MCO,AMS,20:05,10:15,A330,DL0036,DAILY,28-Oct-23,31-Oct-23,28.4294,-81.3089,52.3105,4.7683,28.4294,-81.3089,52.3105,4.7683
MSP,AMS,16:30,8:15,A330,DL0160,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683
MSP,AMS,19:20,11:15,A330,DL0162,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683
MSP,AMS,21:25,12:35,A330,DL0164,DAILY,1-Oct-23,27-Oct-23,44.8848,-93.2223,52.3105,4.7683,44.8848,-93.2223,52.3105,4.7683
MSP,CDG,21:40,13:05,A330,DL0138,DAILY,1-Oct-23,27-Oct-23,44.8848,-93.2223,49.0097,2.5479,44.8848,-93.2223,49.0097,2.5479
MSP,CDG,16:30,8:15,A330,DL0152,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,49.0097,2.5479,44.8848,-93.2223,49.0097,2.5479
MSP,LHR,17:20,7:15,A330,DL0010,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,51.47,-0.4543,44.8848,-93.2223,51.47,-0.4543
PDX,AMS,14:00,9:15,A330,DL0178,DAILY,1-Oct-23,31-Oct-23,45.5898,-122.5951,52.3105,4.7683,45.5898,-122.5951,52.3105,4.7683
RDU,CDG,18:00,8:10,B767,DL0286,DAILY,1-Oct-23,27-Oct-23,35.8801,-78.7879,49.0097,2.5479,35.8801,-78.7879,49.0097,2.5479
SEA,AMS,13:40,9:25,A330,DL0142,DAILY,1-Oct-23,31-Oct-23,47.4502,-122.3088,52.3105,4.7683,47.4502,-122.3088,52.3105,4.7683
SEA,AMS,18:05,13:05,A330,DL0144,DAILY,1-Oct-23,27-Oct-23,47.4502,-122.3088,52.3105,4.7683,47.4502,-122.3088,52.3105,4.7683
SEA,CDG,13:40,13:25,A330,DL0080,DAILY,1-Oct-23,31-Oct-23,47.4502,-122.3088,49.0097,2.5479,47.4502,-122.3088,49.0097,2.5479
SEA,LHR,19:00,13:15,A330,DL0020,DAILY,1-Oct-23,31-Oct-23,47.4502,-122.3088,51.47,-0.4543,47.4502,-122.3088,51.47,-0.4543
SLC,AMS,14:50,9:15,A330,DL0056,DAILY,1-Oct-23,31-Oct-23,40.7899,-111.9791,52.3105,4.7683,40.7899,-111.9791,52.3105,4.7683
SLC,CDG,14:45,9:05,A330,DL0220,DAILY,1-Oct-23,31-Oct-23,40.7899,-111.9791,49.0097,2.5479,40.7899,-111.9791,49.0097,2.5479
SLC,LHR,18:55,13:30,A330,DL0050,DAILY,1-Oct-23,31-Oct-23,40.7899,-111.9791,51.47,-0.4543,40.7899,-111.9791,51.47,-0.4543
ATL,HND,10:20,16:25,A350,DL0295,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,35.5494,139.7798,33.6407,-84.4277,35.5494,139.7798
ATL,ICN,0:25,5:30,A350,DL0027,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,37.4602,126.4407,33.6407,-84.4277,37.4602,126.4407
ATL,ICN,23:50,5:00,A350,DL0239,DAILY,28-Oct-23,28-Oct-23,33.6407,-84.4277,37.4602,126.4407,33.6407,-84.4277,37.4602,126.4407
DTW,HND,10:10,17:10,A350,DL0275,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,35.5494,139.7798,42.2162,-83.3554,35.5494,139.7798
DTW,ICN,12:00,17:20,A350,DL0159,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,37.4602,126.4407,42.2162,-83.3554,37.4602,126.4407
DTW,PVG,10:15,15:20,A350,DL0389,1.3..6.,4-Oct-23,30-Oct-23,42.2162,-83.3554,31.1443,121.8052,42.2162,-83.3554,31.1443,121.8052
HNL,HND,14:40,18:45,B767,DL0181,DAILY,28-Oct-23,31-Oct-23,21.3245,-157.9251,35.5494,139.7798,21.3245,-157.9251,35.5494,139.7798
LAX,AKL,23:00,7:55,A350,DL0065,DAILY,28-Oct-23,31-Oct-23,33.9416,-118.4085,-37.0082,174.791,33.9416,-118.4085,-37.0082,174.791
LAX,HND,9:50,14:35,A330,DL0007,DAILY,1-Oct-23,31-Oct-23,33.9416,-118.4085,35.5494,139.7798,33.9416,-118.4085,35.5494,139.7798
LAX,PPT,10:50,16:45,B767,DL0119,DAILY,31-Oct-23,31-Oct-23,33.9416,-118.4085,-17.5537,-149.6067,33.9416,-118.4085,-17.5537,-149.6067
LAX,SYD,22:05,7:35,A350,DL0041,DAILY,1-Oct-23,31-Oct-23,33.9416,-118.4085,-33.9399,151.1753,33.9416,-118.4085,-33.9399,151.1753
LAX,SYD,20:45,6:05,A350,DL0043,DAILY,29-Oct-23,29-Oct-23,33.9416,-118.4085,-33.9399,151.1753,33.9416,-118.4085,-33.9399,151.1753
MSP,HND,10:55,15:05,A330,DL0121,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,35.5494,139.7798,44.8848,-93.2223,35.5494,139.7798
MSP,ICN,10:35,16:30,A350,DL0171,DAILY,1-Oct-23,31-Oct-23,44.8848,-93.2223,37.4602,126.4407,44.8848,-93.2223,37.4602,126.4407
SEA,HND,10:50,15:20,A330,DL0167,DAILY,1-Oct-23,31-Oct-23,47.4502,-122.3088,35.5494,139.7798,47.4502,-122.3088,35.5494,139.7798
SEA,ICN,11:25,16:15,A330,DL0197,DAILY,1-Oct-23,31-Oct-23,47.4502,-122.3088,37.4602,126.4407,47.4502,-122.3088,37.4602,126.4407
SEA,PVG,10:25,17:05,A330,DL0281,12..5.7,3-Oct-23,31-Oct-23,47.4502,-122.3088,31.1443,121.8052,47.4502,-122.3088,31.1443,121.8052
ATL,BOG,15:55,19:45,B767,DL0981,DAILY,29-Oct-23,31-Oct-23,33.6407,-84.4277,4.7017,-74.1469,33.6407,-84.4277,4.7017,-74.1469
ATL,EZE,21:55,9:00,B767,DL0101,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,-34.8222,-58.5358,33.6407,-84.4277,-34.8222,-58.5358
ATL,GRU,18:55,5:40,A330,DL0105,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,-23.4356,-46.4731,33.6407,-84.4277,-23.4356,-46.4731
ATL,GRU,20:50,9:35,B767,DL0269,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,-23.4356,-46.4731,33.6407,-84.4277,-23.4356,-46.4731
